Entity;Regime_politique;Droit_de_lHomme;Liberte_economique;Inegalite_des_genres;Proportion_denfants_harceles;Corruption;Taux_alphabetisation;HDI;Annes_detudes;Espérance_vie;Budget_militaire_from_GPD;Sous_alimentation;Acces_Internet_pers;Acces_electricite_pers;Pop_urban;Pop_rural
Cyprus;3;1,523086737;7,708212245;0,116;33;59;99,059776;0,869;12,1;80,982;1,627664717;6,8;80,74318897;100;806771;400590
Czechia;2;2,988253679;7,573594724;0,12899999;16;59; ;0,888;12,7;79,376;1,190685197;2,5;78,71917285;100;7923709;2775187
Democratic Republic of Congo;1;-2,431054595;5,679637719;0,66299999;54,8;20;77,221672;0,457;6,8;60,681;0,6738169; ;8,619904916;19,1;40874034;48687370
Denmark;3;3,036424591;7,766156184;0,041000001;17;88; ;0,929;12,6;80,898;1,32256524;2,5;97,09936216;100;5138400;693004
Djibouti;1;-0,223077108; ; ; ;31; ;0,476;4,1;67,112; ; ;55,68140925;61,27593613;771254;216748
Dominica; ;1,875982784; ; ; ;57; ;0,715;7,8;75; ;5,8;69,61966879;100;51178;20813
Dominican Republic;2;-0,293057049;7,18506935;0,47;26,6;30;92,465424;0,736;7,8;74,081;0,730151763;5,5;67,57124533;100;8953860;1894044
Ecuador;2;0,643758092;6,058442512;0,391;29;34;94,515472;0,752;8,7;77,01;2,286824013;8,8; ;100;11320846;6322214
Egypt;1;-1,536419686;5,712223766; ;70;35;75,842621;0,696;7,2;71,99;1,180453002;4,7;44,95020425;100;43781728;58552675
El Salvador;2;0,246425049;7,133397009;0,384;30,8;35;87,648216;0,674;6,9;73,317;1,194888939;8,9;33,8207289;100;4763725;1722476
Equatorial Guinea;1;0,004124115; ; ; ;16;95,195663;0,591;5,5;58,735; ; ;26,23999996;66,59217834;1025582;377403
Eritrea;0;-1,9641295; ; ; ;24;73,845253;0,44;4;66,321; ; ;1,30890698;50,38573074; ; 
Estonia;3;2,713978606;7,837735993;0,131;37;73;99,823509;0,871;12,7;78,745;2,120434528;2,5;88,10245687;100;921477;409580
Eswatini;0;0,559096043;6,470780954;0,56599998;32;38;87,470192;0,588;6,5;60,194;1,823258322;16,9;30,3;77,16963959;280423;879741
Ethiopia;1;-1,950493427;5,746327451;0,49900001;50,2;34;49,031521;0,463;2,7;66,597;0,601169492;19,7;18,61805145;48,2716217;24941349;90022234
Fiji;1;1,399055863;6,808111223;0,35800001;42; ; ;0,741;10,8;67,444;1,619530705;3,9;49,96637301;100;513187;383257
Finland;3;3,154019291;7,620819275;0,056000002;28;85; ;0,92;12,4;81,908;1,481490763;2,5;87,46892907;100;4729705;801014
France;3;1,868426729;7,23569039;0,102;32;72; ;0,901;11,5;82,659;1,857220041;2,5;80,50245972;100;54570334;12821248
Gabon;1;0,072854102;5,864793558;0,542; ;31;83,237877;0,702;8,2;66,467;1,59301498;16,6;50,32012015;90,68525696;2005203;220525
Gambia;2;0,641877161;7,359703603;0,64099997;44,6;37;55,572762;0,46;3,5;62,05;0,824343186;11,9;19,83645444;59,92128754;1512397;904267
Georgia;2;0,846184377;8,02;0,361;38,9;58;99,759621;0,78;12,8;73,767;1,989966487;8,2;59,7055046;100;2208084;1505916
Germany;3;2,930530899;7,679705306;0,066;30;80; ;0,936;14,1;81,326;1,279500177;2,5;84,3941537;100;64472284;18768241
Ghana;3;0,23130234;6,601015102;0,54699999;62;41;76,575897;0,592;7,1;64,074;0,441936078;6,5;37,88415262;83,5;17820023;13252922
Greece;3;0,723140758;6,492319707;0,119;29;45;95,29287;0,87;10,8;82,239;2,571972336;2,5;69,89297065;100;8541900;2173649
Grenada; ;2,360295215; ; ; ;52; ;0,772;8,7;72,397; ; ;59,07173536;95,42874146;41111;71408
Guatemala;2;0,296720965;7,623024421;0,49399999;36,2;27;79,074211;0,65;6,5;74,302;0,418531309;16,1;40,70304908;95,72457123;8738685;8119648
Guinea;1;0,002368991;5,9311292; ;45,6;28;30,47279;0,459;2,6;61,602;2,029174026; ;11,40002077;42,41838837;4842717;8290075
Guinea-Bissau;2;1,201649104;5,204764232; ;46,5;16;59,77285;0,455;3;58,322; ; ;3,930509152;31,0404129;869776;1098222
Guyana;2;0,90521378;6,319215573;0,50800002;38;37;87,535316;0,654;8,4;69,906;1,650968715;5,7;37,32583679;92,02169037;210688;575871
Haiti;1;0,590256953;6,540483644;0,59299999; ;20;60,68935;0,498;5,3;64,001;0,001287275;48,2;12,32610358;45,37134552;6509478;4893055
Honduras;1;-0,621338298;7,053142395;0,461;32;29;88,424583;0,617;6,5;75,27;1,629646715;13,8;32,13636364;92,77952576;5780230;4124378
Hong Kong;0; ;8,971599172; ; ;76; ;0,933;12;84,857; ;2,5;89,41594465;100;7481800;0
Hungary;1;1,089712178;7,226473871;0,252;24;46;99,380882;0,838;11,9;76,875;1,220831242;2,5;76,75054712;100;7014174;2735589
Iceland;3;4,937323598;7,212059862;0,050999999;16;76; ;0,935;12,4;82,993;0;2,5;98,25520119;100;344066;22359
India;1;-1,394107965;6,627177736;0,52999997;40,3;41;72,225304;0,64;6,4;69,656;2,395246379;14;32;97,81528473;481980332;898024053
Indonesia;2;-0,433937111;7,142168145;0,46700001;50;38;95,437683;0,694;8;71,716;0,674409306;9;32,33580625;98,85;154926514;118597107
Iran;1;-1,377935842;6,020622191;0,509;27,5;28;87,172531;0,798;9,8;76,677;2,312118697;4,7;64,04397362;100;63728813;20264140
Iraq;1;-2,388372091;5,407654263;0,52499998;28;18;79,721764;0,685;6,8;70,604;3,468703277;23,7;49,35999889;100;28514939;11707564
Ireland;3;2,718400896;8,067158288;0,127;26;73; ;0,938;12,5;82,305;0,289905561;2,5;84,11400706;100;3179292;1815432
Isle of Man; ; ; ; ; ; ; ; ; ;81,396; ; ; ;100;44980;40052
Israel;3;-1,064022925;7,469375569;0,103;37,7;61; ;0,903;13;82,972;5,257651249;2,5;81,58118359;100;8533651;683249
Italy;3;1,368498227;7,272612388;0,085000001;9;52;99,015793;0,88;10,2;83,512;1,35140678;2,5;63,077347;100;42306582;17247441
Jamaica;2;-0,026261613;7,198321709;0,42199999;40;44;88,499901;0,732;9,8;74,475;1,604714965;8,7;55,07206705;99,3837738;1667459;1293702
Japan;3;2,370679835;7,470801386;0,116;36,8;73; ;0,909;12,8;84,629;0,930602183;2,5;91,72654724;100;115494817;10341204
Jordan;0;0,145846286;7,469710428;0,47799999;41;49;98,014351;0,735;10,4;74,526;4,680536959;8,5;66,79031443;100;9327507;875633
Kazakhstan;1;-0,158347042;7,118116418;0,20200001;41;31;99,787849;0,8;11,8;73,597;1,056352367;2,5;76,42674823;100;10815873;7938567
Kenya;1;-1,201222357;7,214441717;0,565;57;27;78,023399;0,59;6,5;66,699;1,15594133;23;17,82710021;69,7;15053275;38718025
Kiribati; ;4,107931326; ; ;37; ; ;0,612;7,9;68,369; ;3;14,58181818;100;66405;53041
Kosovo;2;1,453961285; ; ; ;37; ; ; ; ;0,824280693; ;83,89359681;100; ; 
Kuwait;1;0,694287592;6,762842638;0,33500001;28;41;96,117706;0,803;7,3;75,489;5,615501039;2,5;97,99998933;100;4270563;0
Kyrgyzstan;1;-0,403234839;6,928605538;0,39399999;33,3;29;99,50132;0,672;10,9;71,45;1,505408116;6,4;38,19903776;99,88175201;2429400;4162200
Laos;0;0,91023329;6,897792969;0,46799999;27,5;29;79,867462;0,601;5,2;67,923; ; ;25,51043508;100;2640299;4635257
Latvia;3;2,059508776;7,642272018;0,191;43;58;99,892693;0,847;12,8;75,292;2,031748807;2,5;80,114077;100;1299043;602505
Lebanon;1;-0,23126407;7,0162559;0,38100001;25;28;94,051102;0,757;8,7;78,93;4,242218385;5,7;78,18077489;100;6069524;755918
Lesotho;2;0,2225541;6,381731401;0,54900002;51,1;41;79,360931;0,52;6,3;54,331;1,546863635;32,6;29,78780333;44,64067841;621853;1520399
Liberia;2;0,978316668;6,558400412;0,64899999;50,2;32;47,60014;0,435;4,7;64,104;0,51652075;37,5;7,984479722;27,64920998;2634493;2423184
Libya;0;-1,975751432;4,773094763;0,167;35;17;91,38887;0,706;7,3;72,913; ; ;21,75892062;68,53218842;5544510;1326777
Lithuania;2;2,225502696;7,849591595;0,121;52;59;99,82328;0,858;13;75,933;2,02672325;2,5;77,61525651;100;1901682;893018
Luxembourg;3;5,129846482;7,586641726;0,075000003;28;81; ;0,904;12,1;82,25;0,622177914;2,5;97,36296032;100;578234;54041
Madagascar;1;-0,23040146;6,174695918; ;38,2;25;64,656303;0,519;6,1;67,041;0,613169182;41,7; ;26,9071846;10670457;17020562
Malawi;2;0,435626128;5,86902225;0,61400002;45;32;65,963829;0,477;4,5;64,263;0,885396813;18,8;13,78216439;11,2;3333777;15796178
Malaysia;1;-0,212651876;6,913130396;0,29100001;21;47;94,636993;0,802;10,2;76,156;1,033978773;3;80,14047901;100;24973604;7392394
Maldives;2;0,555945257; ;0,31200001;37;31;99,321022;0,717;6,3;78,921; ; ;63,18566588;100;219833;320709
Mali;0;-1,197660938;5,794917503;0,68900001;46;32;33,068871;0,427;2,3;59,306;2,709170359;5,1;12,72064096;48,02124786;8891939;11358895
Malta;2;2,803173634;7,740315514;0,21699999;27,2;54;94,066612;0,878;11,3;82,53;0,564620805;2,5;81,01191108;100;497676;27609
Marshall Islands; ;2,064719691; ; ; ; ;98,265083;0,708;10,9;73,696; ; ;38,70116262;97,44360352;46049;13145
Mauritania;1;-0,06432388;5,962612389;0,62699997;47;27;52,123562;0,52;4,5;64,925;2,818955471;11,9;20,80096366;45,81206894;2572517;2077143
Mauritius;2;0,958180399;7,995281457;0,38;36;51;90,616043;0,79;9,3;74,991;0,153188085;5,3;55,4032403;100;515916;749824
Mexico;2;-1,423018386;6,895887517;0,345;29,1;28;94,545593;0,774;8,6;75,054;0,516843479;7,1;63,85224909;100;104088701;24844052
Moldova;2;0,484552357;6,629613844;0,23199999;38,3;33;99,244392;0,7;11,6;71,901;0,376936995; ;76,12451989;100;1121710;1496110
Monaco; ;4,289002957; ; ; ; ; ; ; ;86,751; ; ;97,05297684;100;39244;0
Mongolia;2;0,4774756;7,395856246;0,278;31;37;98,367638;0,741;10,1;69,87;0,703201814;21,3;23,71426517;99,12526703;2250777;1027515
Montenegro;1;1,557095013;7,050268253;0,156;25,9;45;98,719948;0,814;11,3;76,884;1,643544351;2,5;71,27233254;100;419585;202133
Montserrat; ; ; ; ; ; ; ; ; ;74,158; ; ; ; ; ; 
Morocco;0;0,335490756;6,339798901;0,49399999;1;43;71,710548;0,667;5,5;76,68;3,094492413;4,3;61,76221201;99,6;23450016;13460542
Mozambique;1;-0,087209576;5,479430172;0,574;47,5;23;58,836552;0,437;3,5;60,854;0,895181627;32,6;20,7740003;29,61616135;11587640;19667795
Myanmar;1;-2,467334008;5,41638899;0,37400001;19;29;93,09005;0,578;4,9;67,134; ;14,1;23,62108195;68,35665131;16943754;37466040
Namibia;2;1,54286351;6,413544685;0,47400001;52;53;90,820503;0,647;6,8;63,708;3,028329466;14,7;36,83740647;55,19511795;1322115;1218801
Nauru; ;1,743830913; ; ; ; ; ; ; ;59,962; ; ;62,38512451;100;10834;0
Nepal;2;0,261589965;6,527727586;0,49700001;42,7;31;64,663643;0,574;4,9;70,778;1,56308145;6,1;21,40351043;89,9;5995190;23141618
Netherlands;3;3,410230213;7,697608946;0,044;21;82; ;0,931;12,2;82,283;1,340651681;2,5;93,19727891;100;16087009;1354130
New Zealand;3;3,445404703;8,490329773;0,15800001;23,3;87; ;0,917;12,5;82,288;1,498862401;2,5;90,81109307;100;4408037;676263
Nicaragua;1;0,113044035;7,277070764;0,46200001;25,7;25;82,471848;0,658;6,7;74,485;0,654937275;17,2;27,86304001;88,21266937;3909282;2715272
Niger;2;-0,467373905;5,965836428;0,69499999;52,6;34;19,1026;0,354;2;62,42;1,839984015; ;10,22431156;18,77472496;4024595;20182041
Nigeria;2;-2,058687075;6,36072046; ;49,8;27;59,568081;0,532;6,2;54,687;0,460792415;12,6;7,469439317;55,4;107106007;99033580
North Korea;0;-2,437614552; ; ; ;14;99,999237; ; ;72,274; ;47,6; ;49,37275696;16081083;9697732
North Macedonia;2;0,848406672;7,122560119;0,16;20;37;97,843758;0,757;9,6;75,797;1,244459333;3,1;74,51682418;100;1218402;864978
Norway;3;4,003323819;7,57088482;0,052999999;23;84; ;0,953;12,6;82,404;1,684120191;2,5;96,3576013;100;4463566;915909
Oman;0;0,806570325;6,749671402;0,28099999;47;52;93,971649;0,821;9,5;77,861;8,761275759;7,8;80,18563573;100;4405789;700833
Pakistan;1;-1,581048329;5,993016925;0,546;41;33;56,440311;0,562;5,2;67,273;3,976950712;12,3;17,10514586;73,91436005;82094635;138797696
Palau; ;4,288570679; ; ; ; ;99,523972;0,798;12,3;73,701; ; ; ;100;14652;3440
Palestine; ; ; ; ;56; ;96,668037;0,686;9,1;74,053; ; ;65,2;100;3685020;1118249
Panama;2;2,205342238;7,566113507;0,45699999;22;37;95,038231;0,789;10,2;78,506;0;6,9;59,9506309;95,83455658;2951905;1362863
Papua New Guinea;1;0,31711269;6,268588715;0,59500003;56,9;28;63,433491;0,544;4,6;64,501;0,372887893; ;11,20919659;63,46451187;1193981;7753046
Paraguay;2;0,696920668;6,93248077;0,46399999;39,8;29;95,53611;0,702;8,4;74,254;0,986209173;8,8;61,07575622;100;4435221;2697309
Peru;2;0,740837126;7,439497099;0,38499999;47;35;94,374352;0,75;9,2;76,736;1,166978075;6,7;50,45041218;98,34660339;25815966;7155880
Philippines;1;-2,131015039;7,347101298;0,43599999;48;36;96,618027;0,699;9,3;71,231;0,958761785;14,5;60,05476033;95,62862396;51950201;57630884
Poland;2;1,815505193;7,26956524;0,13699999;24;60;99,787422;0,865;12,3;78,73;2,022693273;2,5;75,98536595;100;22786800;15164002
Portugal;2;1,939209809;7,496775811;0,090999998;37;64;95,428108;0,847;9,2;82,049;1,936662596;2,5;73,79121395;100;6833619;3471945
Puerto Rico; ; ; ; ; ; ;93,329422; ; ;80,104; ; ;68,74077314;100;2989009;205025
Qatar;0;1,671422665;7,467956558;0,542;42;62;97,757088;0,856;9,8;80,227; ; ;97,38884917;100;2859020;22040
Romania;2;0,936675539;7,698155057;0,33899999;41;47;98,757027;0,811;11;76,054;2,037109776;2,5;63,74728218;100;10451921;8834202
Russia;1;-1,232211867;6,823958472;0,271;33;28;99,719566;0,816;12;72,584;3,878588303;2,5;76,00813853;100;107723564;36380516
Rwanda;1;-0,670644255;7,483949815;0,38299999;57,8;56;71,2435;0,524;4,1;69,024;1,186027809;35,6;21,76763262;37,78243637;2257829;10694380
Saint Lucia; ;1,224225148; ;0,354;25;55; ;0,747;8,9;76,203; ; ;50,81524478;99,54777527;34598;149031
Saint Vincent and the Grenadines; ;1,94245495; ; ; ;58; ;0,723;8,6;72,534; ;5,7; ;100;58837;52110
Samoa; ;2,560865976; ;0,43900001;74; ;99,015007;0,713;10,3;73,321; ;2,5;33,61093932;99,2;35494;162916
San Marino; ;4,269659599; ; ; ; ; ; ; ;84,972; ; ;60,18230126;100;33089;849
Sao Tome and Principe;2;3,331958707; ;0,52399999; ;46;91,747108;0,589;6,3;70,385; ;12;29,9312292;75,18190765;162955;56206
Saudi Arabia;0;-0,995758828;6,516357351;0,257;36,2;49;94,842369;0,853;9,5;75,133;7,979832993;4,8;94,17559961;100;29343564;5470303
Senegal;2;0,796011622;6,199727938;0,52100003;38,4;45;55,624851;0,505;3;67,941;1,450063017;9,4;29,64312367;70,4;8057514;8686416
Serbia;1; ;6,855902529;0,185;34,7;39;98,002892;0,787;11,1;76,001;2,220247418;4,6;70,33083553;99,8;3899416;3008808
Seychelles;2;1,479227588;7,234818257; ;51;66;95,321083;0,797;9,5;73,402;1,332291957; ;58,76981124;100;56661;41801
Sierra Leone;2;0,540344793;5,744552987;0,64999998;45,3;30;48,4319;0,419;3,5;54,696;0,73496769;26;13,23693043;22,7;3423961;4553024
Singapore;1;1,700365887;8,820735091;0,068000004; ;85;96,774628;0,932;11,5;83,62;3,207594557; ;84,45226789;100;5685807;0
Slovakia;2;1,812497515;7,308716412;0,18000001;25;50; ;0,855;12,5;77,542;1,755998857;6,1;81,62566752;100;2934665;2524162
Slovenia;2;3,157118616;7,044029738;0,052999999;20;60;99,71476;0,896;12,2;81,324;1,05353081;2,5;78,88542636;100;1157547;942579
Solomon Islands;2;3,757369267; ; ;67;44; ;0,546;5,5;72,996; ;13,2;11,92422906;70,25849152;169453;517425
Somalia;0;-1,739184553; ; ; ;10; ; ; ;57,397; ; ;2,004048698;36,0331955;7333290;8559929
Somaliland;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; 
South Africa;2;-1,061342789;6,658054541;0,39399999;37,4;43;94,597939;0,699;10,1;64,131;0,976948136;5,7;56,16739447;85;39946775;19361915
South Korea;3;1,228568362;7,501501501;0,067000002; ;57; ;0,903;12,1;83,033;2,673585474;2,5;95,06942188;100;42156641;9623938
South Sudan;0;-2,592480777; ; ; ;13;31,97625;0,388;4,8;57,846;3,362341597; ;7,977428907;6,720535278;2261021;8932708
Spain;3;1,191515174;7,551851757;0,081;14;58;98,11451;0,891;9,8;83,565;1,238844477;2,5;84,6022457;100;38264801;9086766
Sri Lanka;2;-0,526460575;6,489522916;0,38600001;38;38;92,614166;0,77;10,9;76,978;1,94187122;7,6;34,1133479;100;4101702;17817298
Sudan;0;-2,470596454;5,36;0,57499999;40,7;16;58,601318;0,502;3,7;65,311;1,647957233;12,4;30,87029573;53,82707214;15458183;28391086
Suriname;2;1,194181517;6,381872508;0,44800001;26;43;95,538986;0,72;8,5;71,682; ;8,1;48,94517397;97,88735199;388053;198581
Sweden;3;2,83679292;7,431505399;0,048;11;85; ;0,933;12,4;82,797;1,120598539;2,5;93,00626697;100;9108648;1244794
Switzerland;3;2,10741004;8,387414206;0,039999999;34;85; ;0,944;13,4;83,779;0,728114189;2,5;89,68614767;100;6383962;2252934
Syria;0;-2,558582937;5,034062658;0,55400002;40,9;13;86,303932;0,536;5,1;72,697; ; ;34,25340193;89,32488251;9708489;7792168
Taiwan;3;2,702207569;7,883663307; ; ;63; ; ; ;80,456; ; ; ; ; ; 
Tajikistan;1;-0,688976106;6,716732564;0,322;7;25;99,781052;0,65;10,4;71,097; ; ;21,96;99,63539124;2623424;6914218
Tanzania;1;-0,255901211;6,930080248;0,54400003;28;36;80,359497;0,538;5,8;65,456;1,316926885;25;15,99999943;37,7;21042571;38691642
Thailand;0;-1,209087232;6,821824859;0,366;27;36;93,983017;0,755;7,6;77,15;1,339318604;9,3;52,89192934;99,9;35898129;33901849
Timor;2;1,086268597;6,561040228; ;54;35;64,066139;0,625;4,5;69,495;1,049478873;30,9;27,49273173;94,71617889;412936;905506
Togo;1;0,409906965;5,784202354;0,55599999;47,5;30;66,53759;0,503;4,8;61,042;3,124631677;20,7;12,36022497;52,44109726;3543299;4735438
Tonga; ;2,763731841; ;0,65899998;50; ;99,397858;0,726;11,2;70,907; ; ;41,24872764;98,4;24415;81282
Trinidad and Tobago;2;0,90690385;6,741669083;0,324;15;41;98,969582;0,784;10,9;73,507;0,735762957;5,5;77,32605293;100;744725;654766
Tunisia;2;0,101200869;6,276433717;0,289;31;43;81,054192;0,735;7,2;76,699;2,556073214;2,5;55,50015506;100;8221976;3596642
Turkey;1;-1,62047259;6,821242893;0,32800001;33,1;41;95,688103;0,791;8;77,691;2,718365933;2,5;64,68461768;100;64186247;20152820
Turkmenistan;1;-0,567468907; ; ;46,6;20;99,692932;0,706;9,8;68,191; ;4;21,25099741;99,9;3167338;2863849
Uganda;1;-0,351118825;7,43850886;0,52200001;46;26;73,809837;0,516;6,1;63,368;2,050106329; ;23,70653091;41,3;11414209;34326791
Ukraine;2;-1,219281904;5,969297672;0,28400001;41;32;99,764107;0,751;11,3;72,065;3,356164643;3,5;58,88947945;100;30721277;13413416
United Arab Emirates;0;0,206362335;7,485404568;0,23199999;23;70;92,986366;0,863;10,8;77,972; ;3,1;94,81992254;100;8609395;1281005
United Kingdom;3;2,221622899;8,007157126;0,131;25;80; ;0,922;12,9;81,321;1,743458811;2,5;90,42455049;100;56395647;10819646
United States;3;0,235332781;8,040992466;0,20299999;26;71; ;0,924;13,4;78,862;3,413106668;2,5;87,27488917;100;272364755;57119368
Uruguay;3;2,782269859;7,150333043;0,28400001;19;70;98,442101;0,804;8,7;77,911;2,018775761;2,5;70,3223544;99,9;3317930;155797
Uzbekistan;1;-0,588449175; ;0,287;44,1;23;99,995193;0,71;11,5;71,725; ;2,6;48,69999885;100;17258430;16973620
Vanuatu;2;2,312695773; ; ;67;46;85,058678;0,603;6,8;70,474; ;9,8;25,71978784;64,66623688;78400;228750
Venezuela;1;-1,434521081;2,88085998;0,461;35;18;95,399246;0,761;10,3;72,064; ;31,4;64,31336383;100;25102966;3332977
Vietnam;0;-0,373983921;6,416821979;0,33700001;26;33;94,514267;0,694;8,2;75,4; ;6,4;58,14;99,4;36346227;60992356
Yemen;0;-2,108345997;6,37069288;0,76700002;41;14;69,961952;0,452;3;66,125; ; ;26,71835477;72,75170135;11306428;18519540
Zambia;1;-0,043186178;6,603235047;0,52600002;65;35;85,117264;0,588;7;63,886;1,211039086; ;27,8525791;43;8204576;10179380
Zimbabwe;1;-0,74135666;6,07711626;0,54000002;61;22;86,873482;0,535;8,2;61,49;0,698600973; ;27,05548769;41,08910751;4792105;10070822
