Rang	Pays	Score_general	Process	Fct-gouv	Partici_polit	Cultur_polit	Libertes_civil
106 	Liban 	4.63 	3.92 	2.21 	6.67 	5.63 	4.71
108 	Nigéria 	4.44 	6.08 	4.64 	3.33 	3.75 	4.41
109 	Palestine 	4.39 	3.83 	2.14 	7.78 	4.38 	3.82
110 	Turquie 	4.37 	4.5 	5 	5 	5 	2.35
111 	Gambie 	4.31 	4.48 	4.29 	3.33 	5.63 	3.82
112 	Pakistan 	4.17 	6.08 	5.36 	2.22 	2.5 	4.71
113 	Côte_d’Ivoire 	4.15 	4.83 	2.86 	3.33 	5.63 	4.12
114 	Irak 	4.06 	4.75 	0.07 	6.67 	5 	3.82
115 	Jordanie 	3.93 	3.58 	4.29 	3.89 	4.38 	3.53
116 	Mozambique 	3.85 	3.58 	2.14 	5 	5 	3.53
116 	Koweït 	3.85 	3.17 	4.29 	3.89 	4.38 	3.53
118 	Birmanie 	3.83 	3.67 	3.93 	3.89 	5.63 	2.06
119 	Mauritanie 	3.82 	3 	3.57 	5 	3.13 	4.41
120 	Niger 	3.76 	5.25 	1.14 	3.33 	4.38 	4.71
121 	Comores 	3.71 	4.33 	2.21 	4.44 	3.75 	3.82
122 	Nicaragua 	3.63 	2.67 	1.86 	3.89 	5.63 	4.12
123 	Angola 	3.62 	1.75 	2.86 	5.56 	5 	2.94
124 	Gabon 	3.61 	2.58 	2.21 	4.44 	5 	3.82
125 	Cambodge 	3.59 	1.33 	5 	2.78 	5.63 	3.24
126 	Algérie 	3.5 	2.58 	2.21 	3.89 	5 	3.82
127 	Egypte 	3.36 	3.58 	3.21 	3.33 	3.75 	2.94
128 	Rwanda 	3.35 	1.67 	5 	2.78 	4.38 	2.94
128 	Ethiopie 	3.35 	0 	3.57 	5.56 	5 	2.65
130 	Chine 	3.32 	0 	5 	3.89 	6.25 	1.47
131 	Congo_(Brazzaville) 	3.31 	3.17 	2.5 	3.89 	3.75 	3.24
132 	Cameroun 	3.28 	3.17 	2.86 	3.33 	4.38 	2.65
133 	Qatar 	3.19 	0 	4.29 	2.22 	5.63 	3.82
134 	Venezuela 	3.16 	1.67 	1.79 	4.44 	4.38 	3.53
134 	Zimbabwe 	3.16 	0.5 	2 	4.44 	5.63 	3.24
136 	Guinée 	3.14 	3.5 	0.43 	4.44 	4.38 	2.94
137 	Biélorussie 	3.13 	0.92 	2.86 	3.89 	5.63 	2.35
138 	Togo 	3.1 	3.17 	0.79 	3.33 	5 	3.24
139 	Vietnam 	3.08 	0 	3.21 	3.89 	5.63 	2.65
140 	Oman 	3.04 	0 	3.93 	2.78 	4.38 	4.12
141 	Swaziland 	3.03 	0.92 	2.86 	2.22 	5.63 	3.53
142 	Cuba 	3 	1.08 	3.57 	3.33 	4.38 	2.65
143 	Afghanistan 	2.97 	2.92 	1.14 	4.44 	2.5 	3.82
144 	Russie 	2.94 	2.17 	1.79 	5 	2.5 	3.24
144 	Kazakhstan 	2.94 	0.5 	2.14 	4.44 	4.38 	3.24
146 	Djibouti 	2.87 	0.42 	1.79 	3.89 	5.63 	2.65
147 	Emirats_Arabes_Unis 	2.76 	0 	3.93 	2.22 	5 	2.65
148 	Bahrain 	2.71 	0.83 	3.21 	2.78 	4.38 	2.35
149 	Azerbaidjan 	2.65 	0.5 	2.14 	3.33 	3.75 	3.53
150 	Iran 	2.45 	0 	3.21 	4.44 	3.13 	1.47
151 	Laos 	2.37 	0.83 	2.86 	1.67 	5 	1.47
151 	Erythrée 	2.37 	0 	2.14 	1.67 	6.88 	1.18
153 	Burundi 	2.33 	0 	0.43 	3.89 	5 	2.35
154 	Libye 	2.19 	1 	0.36 	1.67 	5 	2.94
155 	Soudan 	2.15 	0 	1.79 	2.78 	5 	1.18
156 	Ouzbékistan 	2.01 	0.08 	1.86 	2.22 	5 	0.88
157 	Guinée-Bissau 	1.98 	1.67 	0 	2.78 	3.13 	2.35
158 	Yémen 	1.95 	0 	0 	3.89 	5 	0.88
159 	Arabie_Saoudite 	1.93 	0 	2.86 	2.22 	3.13 	1.47
159 	Tadjikistan 	1.93 	0.08 	0.79 	1.67 	6.25 	0.88
161 	Guinée_Equatoriale 	1.92 	0 	0.43 	3.33 	4.38 	1.47
162 	Turkménistan 	1.72 	0 	0.79 	2.22 	5 	0.59
163 	Tchad 	1.61 	0 	0 	1.67 	3.75 	2.65
164 	République_Centrafricaine 	1.52 	2.25 	0 	1.11 	1.88 	2.35
165 	République_Démocratique_Congo 	1.49 	0.5 	0.71 	2.22 	3.13 	0.88
166 	Syrie 	1.43 	0 	0 	2.78 	4.38 	0
167 	Corée_du_Nord 	1.08 	0 	2.5 	1.67 	1.25 	0
